cases,companies,revenue_rows,profit_rows,revenue_mean,revenue_median,revenue_trim10,revenue_p90,revenue_max,profit_mean_pp,profit_median_pp,profit_trim10_pp,profit_p90_pp,profit_max_pp,revenue_coverage,profit_coverage,revenue_interval_score,profit_interval_score,panel,key
3,1,7,7,0.021914592090159717,0.019026648599819316,0.021914592090159717,0.03829485052812294,0.046721857455514285,0.9278749348491377,0.5357908794915267,0.9278749348491377,1.9121364786021902,2.359016946513378,1.0,1.0,0.22878094538975507,0.10330023202843013,mechanism,integrated-device-manufacturing
2,1,6,6,0.09371946666064594,0.05561316625766646,0.09371946666064594,0.19363925759721715,0.3191763191763192,6.61151343518441,1.948422709143377,6.61151343518441,16.619151129340757,30.21831936466083,1.0,1.0,0.44604986773778627,0.3015289700488882,mechanism,memory-cycle
1,1,3,3,0.05869682134361828,0.06420682398643338,0.05869682134361828,0.08931261954629728,0.09558906843626326,0.7612983998265191,0.3807253104108288,0.7612983998265191,1.4013666482338716,1.6565269826896323,1.0,1.0,0.39682828639941786,0.14849398866960492,mechanism,networking-customer-concentration
3,1,9,9,0.02807733775379611,0.020204067842421812,0.02807733775379611,0.06690194824001641,0.08476313669977784,2.0862294797043224,1.4343350319569588,2.0862294797043224,4.040554396890009,4.143557952798184,1.0,1.0,0.3247473625687572,0.1990581568281317,mechanism,optical-interconnect-custom-silicon
1,1,3,3,0.018548410795323766,0.019608776112605534,0.018548410795323766,0.028742979617397163,0.031026530493595068,0.8911423568575954,1.0281583690238565,0.8911423568575954,1.1925648208895678,1.2336664338559955,1.0,1.0,0.4790034986149605,0.23967053366283422,mechanism,optics-materials-ma-integration
1,1,3,3,0.016785312174593326,0.014906048148065463,0.016785312174593326,0.021009438484729814,0.0225352860688959,0.5395647754104352,0.4371469825094107,0.5395647754104352,0.9686764187393457,1.1015587777968294,1.0,1.0,0.3862248296088034,0.15990276410031104,mechanism,osat-advanced-packaging-utilization
4,1,12,12,0.020144500121128298,0.014259167708870243,0.016350787180712055,0.03680842596369053,0.0755486502233443,0.7304101041368627,0.2620984822285982,0.3712300923098136,1.3300038884129566,5.035590762021647,1.0,1.0,0.2761499739888686,0.08286867730829693,mechanism,platform-usage-adoption
1,1,3,3,0.013407685862032899,0.0014934551524203846,0.013407685862032899,0.030978257413512438,0.03834945797878545,0.7536776315390589,0.552393458389,0.7536776315390589,1.4249287052768977,1.6430625169988722,1.0,1.0,0.39255457872155847,0.19627728936077923,mechanism,power-cooling-project-backlog
3,1,9,9,0.045890140656485216,0.04471213974385037,0.045890140656485216,0.0685085199932714,0.07727877134349191,0.9679245033268207,0.8035194861238493,0.9679245033268207,1.9477221394627597,1.9691125137943133,1.0,0.8888888888888888,0.2665163263768829,0.10533633939621327,mechanism,process-control
1,1,3,3,0.046025907847238735,0.03161474339091509,0.046025907847238735,0.07683040084621423,0.08813431521003902,1.7936931485623901,1.6804079362478852,1.7936931485623901,2.517432204345633,2.72668827137007,1.0,1.0,0.33362860059536614,0.13216025989600103,mechanism,process-control-content-intensity
