company,case_id,horizon,original_revenue_error,overlay_revenue_error,original_margin_error_pp,overlay_margin_error_pp
Marvell Technology,MRVL@FY2023,1,0.010476242351616762,0.0072716806606025735,1.133075912238299,1.456231690283552
Marvell Technology,MRVL@FY2021,2,0.06243665112507604,0.03345742034166943,1.3178392258059803,1.029818308575574
Marvell Technology,MRVL@FY2022,2,0.010476242351616762,0.020109037430242307,1.133075912238299,1.4210968294687056
Marvell Technology,MRVL@FY2023,2,0.023009033689941692,0.05462931291308529,4.014803507912967,4.302824425143374
Marvell Technology,MRVL@FY2021,3,0.010476242351616762,0.023913035828681223,2.0505071048988466,2.6897569374851438
Marvell Technology,MRVL@FY2022,3,0.0056698975257053,0.0406203083634938,2.14455219289251,2.783802025478808
Marvell Technology,MRVL@FY2023,3,0.08476313669977784,0.0529555779124133,4.143557952798185,3.5043081202118884
Micron,MU@FY2018,1,0.06810219601811507,0.08733057094054265,1.8282833461505632,2.1711841076383713
Micron,MU@FY2020,1,0.032665583829633554,0.015251268140710494,1.3789067655765592,1.036006004088751
Micron,MU@FY2018,2,0.049685094471658565,0.07998055444210497,3.019982894020684,3.3019621030201645
Micron,MU@FY2020,2,0.031146368424474883,0.003183823688720815,2.068562072136192,1.7865828631367116
Micron,MU@FY2018,3,0.06154123804367437,0.029812065023662813,1.1550261685616334,0.6312711329624889
Micron,MU@FY2020,3,0.3191763191763192,0.36377750504813416,30.218319364660832,30.742074400259977
NVIDIA,NVDA@FY2018,1,0.018436326391259757,0.001442354576283867,0.29450621224041384,0.06442236871276918
NVIDIA,NVDA@FY2020,1,0.04047976011994007,0.023867429864816672,0.3034107946026978,0.05551778635048166
NVIDIA,NVDA@FY2021,1,0.03396002080701499,0.017234813242855175,0.7692593502952434,0.41033076934206036
NVIDIA,NVDA@FY2018,2,0.03828540025645716,0.012490313627591502,1.3051404844773629,1.0292029837088066
NVIDIA,NVDA@FY2020,2,0.0711154046221298,0.04620088360687178,0.5077208887567792,0.23178338798822296
NVIDIA,NVDA@FY2021,2,0.0009638911544450138,0.027811721364759623,4.710846384309718,4.986783885078275
NVIDIA,NVDA@FY2018,3,0.07046476761619194,0.03903729801164567,0.08163660105430637,0.5782984710808741
